index	gen	fam	infam	sir	dam	sex	F1	F2	C1	R1	R2	BW16	BMW	PH0	BW16_TBV	BMW_TBV	PH0_TBV	BW16_TGV	BMW_TGV	PH0_TGV	BW16_A_eff	BW16_F1_eff	BW16_F2_eff	BW16_C1_eff	BW16_R1_eff	BW16_R2_eff	BW16_E_eff	BMW_A_eff	BMW_F1_eff	BMW_F2_eff	BMW_C1_eff	BMW_R1_eff	BMW_R2_eff	BMW_E_eff	PH0_A_eff	PH0_F1_eff	PH0_F2_eff	PH0_C1_eff	PH0_R1_eff	PH0_R2_eff	PH0_E_eff
1	1	1	1	0	0	1	L1	H2	16	K1	M2	2041.0765312644	372.973075683974	5.06058775538029	-149.483015335298	25.1133106433165	-0.244750035171363	-149.483015335298	25.1133106433165	-0.244750035171363	-149.483015335298	351	-57	8	52.3526117827402	-5.00964313509081	-90.7834220479566	25.1133106433165	28	-12	16	13.9594556900352	19.5796435901067	7.32066576051533	-0.244750035171363	-0.06	0.1	-1.6	0.11553505362703	0.12174380359945	-0.0719410666748273
2	1	2	2	0	0	1	L1	H2	17	K1	M2	2228.35581553242	307.776330853033	5.14170419535513	-86.6606507372882	-46.0272489056983	-0.0902158062965442	-86.6606507372882	-46.0272489056983	-0.0902158062965442	-86.6606507372882	351	-57	8.5	52.3526117827402	-5.00964313509081	33.1734976220549	-46.0272489056983	28	-12	17	13.9594556900352	19.5796435901067	12.2644804785894	-0.0902158062965442	-0.06	0.1	-1.7	0.11553505362703	0.12174380359945	-0.0453588555748091
3	1	3	3	0	0	1	L2	H1	16	K2	M1	1820.02334669148	230.510352757559	4.62918966481344	30.4867560632593	-4.62509600058769	-0.164869188902452	30.4867560632593	-4.62509600058769	-0.164869188902452	30.4867560632593	-306	102	8	-53.6243351458837	-55.2458865873073	162.406812361411	-4.62509600058769	-28	12	16	-14.2985517796717	-9.53409426206906	-16.0319052001128	-0.164869188902452	0.03	-0.11	-1.6	-0.118341573148335	0.0212726654944161	-0.128872238630189
4	1	4	4	0	0	1	L1	H2	17	K1	M2	2150.52500443681	330.120932066061	4.51321147993585	54.8980286454311	21.9712922341788	-0.278596720848823	54.8980286454311	21.9712922341788	-0.278596720848823	54.8980286454311	351	-57	8.5	52.3526117827402	-5.00964313509081	-186.21599285627	21.9712922341788	28	-12	17	13.9594556900352	19.5796435901067	-33.3894594482601	-0.278596720848823	-0.06	0.1	-1.7	0.11553505362703	0.12174380359945	-0.485470656441803
5	1	5	5	0	0	1	L2	H2	16	K2	M2	1519.94026180303	316.422515762308	6.00044908643288	-15.1850786528252	11.8032377052019	0.10515883806154	-15.1850786528252	11.8032377052019	0.10515883806154	-15.1850786528252	-306	-57	8	-53.6243351458837	-5.00964313509081	16.7593187368302	11.8032377052019	-28	-12	16	-14.2985517796717	19.5796435901067	48.3381862466712	0.10515883806154	0.03	0.1	-1.6	-0.118341573148335	0.12174380359945	0.661888017920222
6	1	6	6	0	0	1	L2	H1	16	K2	M2	1612.56522682546	346.689158642516	4.93322954582868	113.151288706672	33.693202208048	0.0997856952692354	113.151288706672	33.693202208048	0.0997856952692354	113.151288706672	-306	102	8	-53.6243351458837	-5.00964313509081	-177.95208360024	33.693202208048	-28	12	16	-14.2985517796717	19.5796435901067	32.7148646240332	0.0997856952692354	0.03	-0.11	-1.6	-0.118341573148335	0.12174380359945	-0.18995837989167
7	1	7	7	0	0	1	L2	H2	16	K2	M1	1210.62479811334	210.24848593689	5.23495760086323	-180.849492748272	-54.8364299418019	-0.317012688115456	-180.849492748272	-54.8364299418019	-0.317012688115456	-180.849492748272	-306	-57	8	-53.6243351458837	-55.2458865873073	-76.6554874051984	-54.8364299418019	-28	-12	16	-14.2985517796717	-9.53409426206906	37.9175619204328	-0.317012688115456	0.03	0.1	-1.6	-0.118341573148335	0.0212726654944161	0.4190391966326
8	1	8	8	0	0	1	L1	H1	17	K1	M2	2551.92463752884	427.433697756154	5.35898374165822	177.144001747878	26.3523866471838	-0.304379414597704	177.144001747878	26.3523866471838	-0.304379414597704	177.144001747878	351	102	8.5	52.3526117827402	-5.00964313509081	-66.0623328666867	26.3523866471838	28	12	17	13.9594556900352	19.5796435901067	35.5422118288284	-0.304379414597704	-0.06	-0.11	-1.7	0.11553505362703	0.12174380359945	0.596084299029445
9	1	9	9	0	0	1	L2	H1	17	K2	M3	1742.24504806179	266.662365237429	4.64698481781662	-52.0220892161437	-3.93116104205828	0.0555063776579585	-52.0220892161437	-3.93116104205828	0.0555063776579585	-52.0220892161437	-306	102	8.5	-53.6243351458837	76.0130490218281	35.3784234019863	-3.93116104205828	-28	12	17	-14.2985517796717	-10.9920393771555	19.8841174363148	0.0555063776579585	0.03	-0.11	-1.7	-0.118341573148335	-0.170568005975714	-0.0396119807172886
10	1	10	10	0	0	1	L2	H1	15	K2	M3	1901.70208087964	231.629677998778	5.35373664348573	18.4068450828904	-17.1974826198238	0.235060437796677	18.4068450828904	-17.1974826198238	0.235060437796677	18.4068450828904	-306	102	7.5	-53.6243351458837	76.0130490218281	125.406521920808	-17.1974826198238	-28	12	15	-14.2985517796717	-10.9920393771555	0.1177517754289	0.235060437796677	0.03	-0.11	-1.5	-0.118341573148335	-0.170568005975714	0.287585784813099
11	1	11	11	0	0	1	L2	H2	15	K1	M1	1762.22242080837	271.858706562635	5.349422081897	95.0857098899043	-4.40207269989744	-0.112617592164741	95.0857098899043	-4.40207269989744	-0.112617592164741	95.0857098899043	-306	-57	7.5	52.3526117827402	-55.2458865873073	93.5299857230358	-4.40207269989744	-28	-12	15	13.9594556900352	-9.53409426206906	21.8354178345663	-0.112617592164741	0.03	0.1	-1.5	0.11553505362703	0.0212726654944161	-0.00476804505970553
12	1	12	12	0	0	1	L1	H2	15	K2	M2	2262.23923737168	335.244681717248	5.07331094294415	-31.082417424837	-40.2345553348504	-0.0382461686988169	-31.082417424837	-40.2345553348504	-0.0382461686988169	-31.082417424837	351	-57	7.5	-53.6243351458837	-5.00964313509081	118.455633077493	-40.2345553348504	28	-12	15	-14.2985517796717	19.5796435901067	64.1981452416635	-0.0382461686988169	-0.06	0.1	-1.5	-0.118341573148335	0.12174380359945	-0.131845118808143
13	1	13	13	0	0	1	L2	H1	17	K2	M2	1734.53326489402	255.92536121687	4.69246178846138	-62.0085315750578	-26.9746463812517	0.0561115939661736	-62.0085315750578	-26.9746463812517	0.0561115939661736	-62.0085315750578	-306	102	8.5	-53.6243351458837	-5.00964313509081	118.67577475005	-26.9746463812517	-28	12	17	-14.2985517796717	19.5796435901067	1.61891578768641	0.0561115939661736	0.03	-0.11	-1.7	-0.118341573148335	0.12174380359945	-0.287052035955913
14	1	14	14	0	0	1	L2	H2	15	K2	M1	1469.41418909274	193.659690817428	5.66415551685937	-72.8023844034673	-2.94874384820333	0.0252385208694706	-72.8023844034673	-2.94874384820333	0.0252385208694706	-72.8023844034673	-306	-57	7.5	-53.6243351458837	-55.2458865873073	74.5867952294022	-2.94874384820333	-28	-12	15	-14.2985517796717	-9.53409426206906	-29.5589192926284	0.0252385208694706	0.03	0.1	-1.5	-0.118341573148335	0.0212726654944161	0.405985903643818
15	1	15	15	0	0	1	L1	H2	17	K1	M1	2171.56151325896	305.776642090175	5.59662346914719	12.3199318618637	6.19247673197447	0.253462813511557	12.3199318618637	6.19247673197447	0.253462813511557	12.3199318618637	351	-57	8.5	52.3526117827402	-55.2458865873073	-72.3651437983406	6.19247673197447	28	-12	17	13.9594556900352	-9.53409426206906	-12.8411960697659	0.253462813511557	-0.06	0.1	-1.7	0.11553505362703	0.0212726654944161	0.166352936514187
16	1	16	16	0	0	1	L1	H1	16	K2	M3	2358.66266145734	323.815901640014	5.34501197399512	-13.4297889485245	26.1555487202984	0.43599276810823	-13.4297889485245	26.1555487202984	0.43599276810823	-13.4297889485245	351	102	8	-53.6243351458837	76.0130490218281	-43.2962634700792	26.1555487202984	28	12	16	-14.2985517796717	-10.9920393771555	-8.04905592345767	0.43599276810823	-0.06	-0.11	-1.6	-0.118341573148335	-0.170568005975714	0.267928785010943
17	1	17	17	0	0	1	L1	H1	15	K1	M2	2691.67878620648	369.369819563729	5.63114893124347	108.544275534185	35.7999397198552	0.0986265303847161	108.544275534185	35.7999397198552	0.0986265303847161	108.544275534185	351	102	7.5	52.3526117827402	-5.00964313509081	143.291542024646	35.7999397198552	28	12	15	13.9594556900352	19.5796435901067	-29.9692194362677	0.0986265303847161	-0.06	-0.11	-1.5	0.11553505362703	0.12174380359945	0.26524354363227
18	1	18	18	0	0	1	L2	H2	17	K2	M1	1182.54930958756	204.116130097558	5.34777081802916	-109.591852457067	-1.6638817589296	0.308608027709504	-109.591852457067	-1.6638817589296	0.308608027709504	-109.591852457067	-306	-57	8.5	-53.6243351458837	-55.2458865873073	-176.488616222179	-1.6638817589296	-28	-12	17	-14.2985517796717	-9.53409426206906	-22.3873421017713	0.308608027709504	0.03	0.1	-1.7	-0.118341573148335	0.0212726654944161	0.00623169797357818
19	1	19	19	0	0	1	L2	H2	15	K1	M2	1176.32590397909	292.142336271966	5.68499049948533	-313.350027628938	-52.3472057485849	0.019262482883964	-313.350027628938	-52.3472057485849	0.019262482883964	-313.350027628938	-306	-57	7.5	52.3526117827402	-5.00964313509081	-134.167037039622	-52.3472057485849	-28	-12	15	13.9594556900352	19.5796435901067	60.9504427404093	0.019262482883964	0.03	0.1	-1.5	0.11553505362703	0.12174380359945	0.0984491593748831
20	1	20	20	0	0	1	L2	H2	16	K1	M1	1387.72023148467	186.292749406521	5.32612141236757	-83.0154439687851	-26.0933047274468	-0.295778829321121	-83.0154439687851	-26.0933047274468	-0.295778829321121	-83.0154439687851	-306	-57	8	52.3526117827402	-55.2458865873073	-103.371049741976	-26.0933047274468	-28	-12	16	13.9594556900352	-9.53409426206906	-43.0393072939979	-0.295778829321121	0.03	0.1	-1.6	0.11553505362703	0.0212726654944161	0.255092522567243
21	1	21	21	0	0	1	L2	H2	17	K2	M3	1693.57692804023	296.2606263048	4.89972800752396	80.8454625924483	28.2020153076399	-0.0144939308542607	80.8454625924483	28.2020153076399	-0.0144939308542607	80.8454625924483	-306	-57	8.5	-53.6243351458837	76.0130490218281	12.8427515718335	28.2020153076399	-28	-12	17	-14.2985517796717	-10.9920393771555	41.3492021539877	-0.0144939308542607	0.03	0.1	-1.7	-0.118341573148335	-0.170568005975714	0.0731315175022681
