hayvan	baba	ana	byil	bay	byas	sver305
880002	360	840014	1990	3	26	4134
880007	319	850941	1990	3	26	4704
880009	319	850220	1990	4	27	2328
880011	1101	850686	1990	3	26	3786
880016	319	850790	1990	1	24	4216
880017	126	2048	1990	3	26	4388
880018	319	850713	1990	3	26	4053
880023	780004	3321	1990	1	24	3678
880024	1101	850808	1990	7	30	4230
880025	1131	850933	1990	2	25	3797
880028	360	820345	1990	7	30	3446
880032	360	820307	1990	1	24	3908
880036	126	840458	1992	4	51	4975
880040	386	841062	1990	4	27	4498
880041	319	850871	1990	5	28	2337
880045	386	840940	1990	6	29	2814
880046	319	850878	1990	2	25	3645
880049	1101	850701	1990	2	25	4020
880051	1101	850699	1990	1	24	3852
880052	319	850405	1990	5	28	3082
880054	319	850771	1990	1	24	2568
880062	1043	3247	1990	5	28	4096
880063	386	830007	1990	1	24	2880
880070	126	830374	1990	2	25	4504
880074	318	830012	1990	3	26	3840
880075	386	840046	1990	5	28	4180
880078	780004	3273	1990	3	26	4042
880079	83	830259	1990	3	26	3907
880080	386	840864	1990	2	25	3486
880085	486	3355	1990	2	24	3545
880094	1101	850428	1990	4	26	4554
880096	386	830038	1990	3	25	4700
880098	397	820246	1990	7	29	2505
880101	486	820419	1990	2	24	4100
880102	318	830056	1990	3	25	4174
880104	486	1244	1990	1	23	4001
880109	397	841107	1990	4	26	3231
880110	126	830363	1990	3	25	3617
880115	850319	851032	1990	4	26	4117
880118	975	1149	1990	2	24	3809
880122	780004	830360	1990	7	29	4485
880124	83	830436	1990	3	25	4146
880130	83	840381	1990	5	27	2549
880133	850319	850839	1990	11	33	3576
880136	780004	830215	1990	3	25	4622
880137	1131	850903	1990	5	27	4115
880144	397	850768	1990	4	26	4447
880146	386	840681	1990	5	27	3941
880147	486	239	1990	12	34	3358
880148	386	830464	1990	3	25	4101
880150	1024	841099	1990	6	28	3415
880158	1024	830014	1990	5	27	3829
880160	1101	851055	1990	5	27	3304
880166	83	841022	1990	5	27	3475
880168	841131	851039	1990	6	27	1922
880171	486	840795	1990	4	25	3676
880173	1043	3144	1990	5	26	4343
880186	840126	840686	1990	5	26	3486
880191	486	841011	1991	3	36	4054
880192	841101	851064	1990	6	27	3287
880193	850319	851102	1990	4	25	3307
880202	1043	1971	1990	4	25	4118
880205	780004	859	1990	7	28	2760
880230	360	840265	1990	4	25	3945
880231	360	860031	1990	4	25	3689
880233	360	841102	1990	4	25	2812
880234	386	820044	1990	4	25	3615
880235	360	850072	1990	7	28	3504
880236	386	851029	1990	11	32	3499
880237	360	850125	1990	7	28	2222
880243	841131	851163	1990	10	31	3863
880246	975	830418	1990	8	29	2962
880247	360	841162	1990	4	25	4659
880248	486	851103	1990	7	28	3319
880252	841131	851082	1990	8	28	3904
880260	850319	850986	1990	6	26	2819
880262	841101	840520	1990	5	25	3534
880269	386	851116	1990	5	25	3111
880287	850319	851131	1990	3	23	4282
880295	840126	860358	1990	8	28	4469
880300	397	860266	1991	3	35	3930
880301	360	860180	1990	5	25	3918
880304	126	860523	1990	5	25	3437
880308	1131	850206	1990	6	26	4413
880309	486	830283	1990	6	26	3780
880310	1101	851027	1990	6	26	3435
880313	860020	851122	1990	11	31	2994
880330	397	860260	1991	4	36	4234
880331	360	860141	1991	4	36	4441
880334	386	851110	1990	5	24	2448
880347	126	840753	1991	2	33	3699
880349	860140	860065	1990	5	24	4196
880350	83	820141	1991	9	40	3225
880355	1101	860193	1990	9	28	3866
880359	860043	860017	1990	7	26	4093
880369	83	850108	1990	8	27	3224
880381	126	830187	1990	4	23	4052
880384	330	850042	1990	8	27	3597
880385	360	840558	1990	6	25	4550
880394	850319	850192	1990	8	27	3525
880397	850319	860249	1990	7	26	2910
880400	1131	851076	1990	7	26	3394
880402	860020	860012	1990	12	31	2222
880404	83	820269	1990	7	26	3151
880405	386	840489	1990	11	30	2844
880409	860043	860207	1990	10	29	1771
880441	841101	840871	1991	5	35	4390
880446	860020	860083	1990	11	29	3426
880461	860020	860673	1990	9	27	2363
880466	1101	830022	1990	8	26	3900
880474	397	840374	1990	8	26	2099
880485	850319	2912	1990	10	28	4440
880486	83	2293	1990	6	24	3196
880498	83	860250	1990	11	29	3836
880506	840126	850299	1990	9	26	3210
880510	1131	840781	1990	11	28	3281
880521	386	820494	1991	1	30	4256
880522	486	563	1990	9	26	3537
880523	860020	840580	1991	4	33	4240
880528	386	2811	1990	4	21	2994
