animal	sire	dam	dyil	cins	dtip	typa	lcap	vca
19814003	NA	NA	1981	1	1	3.4	18.2	38.9
19814062	NA	NA	1981	2	2	3.8	20.1	43.0
19814071	NA	NA	1981	2	1	4.1	20.0	49.0
19814123	NA	NA	1981	2	1	4.4	21.6	53.0
19824441	NA	NA	1982	2	2	4.6	20.8	49.0
19824712	NA	NA	1982	2	1	5.1	22.0	45.0
19824721	NA	NA	1982	1	1	4.1	20.3	39.0
19824781	NA	NA	1982	2	1	4.9	21.1	48.0
19834123	NA	NA	1983	1	1	4.0	22.0	42.0
19834127	NA	NA	1983	2	2	3.9	19.1	42.0
19834128	NA	NA	1983	2	1	4.1	20.3	48.0
19834129	NA	NA	1983	2	2	4.6	19.8	44.0
19834371	NA	NA	1983	1	2	4.2	21.7	50.0
19844127	NA	NA	1984	1	1	4.7	21.1	45.0
19844242	19814003	19814123	1984	1	2	4.4	19.2	40.0
19844243	19814003	19814123	1984	2	2	4.1	19.8	41.0
19844244	19814003	19814062	1984	2	1	4.4	19.9	45.0
19844245	19814003	19814071	1984	1	2	4.8	20.2	47.0
19844246	19814003	19814071	1984	2	2	5.2	21.1	49.0
19854127	19824721	19824712	1985	2	1	5.7	22.1	53.0
19854128	19824721	19824713	1985	2	1	5.0	21.9	50.0
19854242	19814003	19814123	1985	1	2	4.4	19.2	40.0
19854243	19814003	19814123	1985	2	2	4.1	19.8	41.0
19854244	19814003	19814062	1985	2	1	4.4	19.9	45.0
19854245	19814003	19814071	1985	1	2	4.8	20.2	47.0
19854246	19814003	19814071	1985	2	2	5.2	21.1	49.0
19864127	19824721	19824712	1986	1	1	5.7	22.1	53.0
19864128	19824721	19824713	1986	2	1	5.0	21.9	50.0
19864129	19834123	19834128	1986	2	1	4.7	22.1	38.0
19864140	19834123	19834127	1986	1	2	5.6	22.0	51.0
19864141	19834123	19834127	1986	2	2	5.0	21.1	39.0
19864142	19834371	19834129	1986	1	1	5.5	22.0	53.0
19864143	19834371	19844243	1986	2	1	4.5	19.8	37.0
19874117	19844127	19854127	1988	1	1	3.8	18.5	42.0
19874129	19834123	19834128	1987	2	1	4.7	22.1	38.0
19874140	19834123	19834127	1987	1	2	5.6	22.0	51.0
19874141	19834123	19834127	1987	2	2	5.0	21.1	39.0
19874144	19844127	19844244	1987	1	1	4.1	20.3	39.0
19874145	19844127	19844246	1987	2	1	3.9	19.1	36.0
19874146	19844127	19834247	1987	2	1	4.5	20.5	45.0
19884118	19844127	19854128	1988	1	2	4.1	19.1	36.0
19884119	19844127	19864129	1988	2	1	3.2	19.6	38.0
