animal	sire	dam
19814003	NA	NA
19814062	NA	NA
19814071	NA	NA
19814123	NA	NA
19824441	NA	NA
19824712	NA	NA
19824713	NA	NA
19824721	NA	NA
19824781	NA	NA
19834123	NA	NA
19834127	NA	NA
19834128	NA	NA
19834129	NA	NA
19834247	NA	NA
19834371	NA	NA
19844127	NA	NA
19844242	19814003	19814123
19844243	19814003	19814123
19844244	19814003	19814062
19844245	19814003	19814071
19844246	19814003	19814071
19854127	19824721	19824712
19854128	19824721	19824713
19854242	19814003	19814123
19854243	19814003	19814123
19854244	19814003	19814062
19854245	19814003	19814071
19854246	19814003	19814071
19864127	19824721	19824712
19864128	19824721	19824713
19864129	19834123	19834128
19864140	19834123	19834127
19864141	19834123	19834127
19864142	19834371	19834129
19864143	19834371	19844243
19874117	19844127	19854127
19874129	19834123	19834128
19874140	19834123	19834127
19874141	19834123	19834127
19874144	19844127	19844244
19874145	19844127	19844246
19874146	19844127	19834247
19884118	19844127	19854128
19884119	19844127	19864129
