hayvan	baba	ana
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	25	12
27	25	12
28	25	12
29	25	12
30	25	12
31	25	12
32	25	12
33	25	12
34	25	12
35	25	12
36	11	6
37	11	6
38	11	6
39	11	6
40	11	6
41	11	6
42	11	6
43	11	6
44	11	6
45	11	6
46	17	10
47	17	10
48	17	10
49	17	10
50	17	10
51	17	10
52	17	10
53	17	10
54	17	10
55	17	10
56	1	4
57	1	4
58	1	4
59	1	4
60	1	4
61	1	4
62	1	4
63	1	4
64	1	4
65	1	4
66	7	18
67	7	18
68	7	18
69	7	18
70	7	18
71	7	18
72	7	18
73	7	18
74	7	18
75	7	18
76	19	16
77	19	16
78	19	16
79	19	16
80	19	16
81	19	16
82	19	16
83	19	16
84	19	16
85	19	16
86	5	24
87	5	24
88	5	24
89	5	24
90	5	24
91	5	24
92	5	24
93	5	24
94	5	24
95	5	24
96	3	22
97	3	22
98	3	22
99	3	22
100	3	22
101	3	22
102	3	22
103	3	22
104	3	22
105	3	22
106	15	2
107	15	2
108	15	2
109	15	2
110	15	2
111	15	2
112	15	2
113	15	2
114	15	2
115	15	2
116	23	8
117	23	8
118	23	8
119	23	8
120	23	8
121	23	8
122	23	8
123	23	8
124	23	8
125	23	8
126	76	69
127	76	69
128	76	69
129	76	69
130	76	69
131	76	69
132	76	69
133	76	69
134	76	69
135	76	69
136	40	29
137	40	29
138	40	29
139	40	29
140	40	29
141	40	29
142	40	29
143	40	29
144	40	29
145	40	29
146	28	31
147	28	31
148	28	31
149	28	31
150	28	31
151	28	31
152	28	31
153	28	31
154	28	31
155	28	31
156	84	105
157	84	105
158	84	105
159	84	105
160	84	105
161	84	105
162	84	105
163	84	105
164	84	105
165	84	105
166	114	109
167	114	109
168	114	109
169	114	109
170	114	109
171	114	109
172	114	109
173	114	109
174	114	109
175	114	109
176	96	93
177	96	93
178	96	93
179	96	93
180	96	93
181	96	93
182	96	93
183	96	93
184	96	93
185	96	93
186	82	117
187	82	117
188	82	117
189	82	117
190	82	117
191	82	117
192	82	117
193	82	117
194	82	117
195	82	117
196	46	123
197	46	123
198	46	123
199	46	123
200	46	123
201	46	123
202	46	123
203	46	123
204	46	123
205	46	123
206	120	39
207	120	39
208	120	39
209	120	39
210	120	39
211	120	39
212	120	39
213	120	39
214	120	39
215	120	39
216	50	97
217	50	97
218	50	97
219	50	97
220	50	97
221	50	97
222	50	97
223	50	97
224	50	97
225	50	97
226	162	191
227	162	191
228	162	191
229	162	191
230	162	191
231	162	191
232	162	191
233	162	191
234	162	191
235	162	191
236	146	153
237	146	153
238	146	153
239	146	153
240	146	153
241	146	153
242	146	153
243	146	153
244	146	153
245	146	153
246	158	213
247	158	213
248	158	213
249	158	213
250	158	213
251	158	213
252	158	213
253	158	213
254	158	213
255	158	213
256	190	169
257	190	169
258	190	169
259	190	169
260	190	169
261	190	169
262	190	169
263	190	169
264	190	169
265	190	169
266	136	163
267	136	163
268	136	163
269	136	163
270	136	163
271	136	163
272	136	163
273	136	163
274	136	163
275	136	163
276	204	161
277	204	161
278	204	161
279	204	161
280	204	161
281	204	161
282	204	161
283	204	161
284	204	161
285	204	161
286	196	209
287	196	209
288	196	209
289	196	209
290	196	209
291	196	209
292	196	209
293	196	209
294	196	209
295	196	209
296	198	197
297	198	197
298	198	197
299	198	197
300	198	197
301	198	197
302	198	197
303	198	197
304	198	197
305	198	197
306	212	201
307	212	201
308	212	201
309	212	201
310	212	201
311	212	201
312	212	201
313	212	201
314	212	201
315	212	201
316	160	165
317	160	165
318	160	165
319	160	165
320	160	165
321	160	165
322	160	165
323	160	165
324	160	165
325	160	165
326	254	295
327	254	295
328	254	295
329	254	295
330	254	295
331	254	295
332	254	295
333	254	295
334	254	295
335	254	295
336	264	227
337	264	227
338	264	227
339	264	227
340	264	227
341	264	227
342	264	227
343	264	227
344	264	227
345	264	227
346	258	323
347	258	323
348	258	323
349	258	323
350	258	323
351	258	323
352	258	323
353	258	323
354	258	323
355	258	323
356	242	239
357	242	239
358	242	239
359	242	239
360	242	239
361	242	239
362	242	239
363	242	239
364	242	239
365	242	239
366	296	289
367	296	289
368	296	289
369	296	289
370	296	289
371	296	289
372	296	289
373	296	289
374	296	289
375	296	289
376	298	271
377	298	271
378	298	271
379	298	271
380	298	271
381	298	271
382	298	271
383	298	271
384	298	271
385	298	271
386	268	299
387	268	299
388	268	299
389	268	299
390	268	299
391	268	299
392	268	299
393	268	299
394	268	299
395	268	299
396	260	237
397	260	237
398	260	237
399	260	237
400	260	237
401	260	237
402	260	237
403	260	237
404	260	237
405	260	237
406	318	315
407	318	315
408	318	315
409	318	315
410	318	315
411	318	315
412	318	315
413	318	315
414	318	315
415	318	315
416	274	307
417	274	307
418	274	307
419	274	307
420	274	307
421	274	307
422	274	307
423	274	307
424	274	307
425	274	307
