hayvan	skagr
1	51.94
2	45.5
3	53.69
4	45.36
5	48.18
6	50.48
7	48.59
8	49.84
9	55.36
10	53.15
11	50.36
12	49.86
13	46.47
14	44.61
15	56.38
16	47.29
17	49.13
18	51.14
19	55.88
20	49.02
21	52.06
22	48.74
23	54.74
24	48.28
25	46.9
26	52.04
27	44.93
28	52.38
29	46.13
30	55.64
31	48.66
32	48.64
33	47.38
34	49.13
35	46.59
36	48.33
37	50.37
38	55.39
39	53.04
40	51.25
41	54.82
42	48.35
43	49.9
44	50.66
45	49.4
46	50.67
47	47.82
48	50.72
49	51.12
50	52.59
51	53.8
52	49.82
53	49.29
54	51.28
55	50
56	49.7
57	50.56
58	49.19
59	52.08
60	44.34
61	58.58
62	48.48
63	48.19
64	46.45
65	53.52
66	40.92
67	50.15
68	54.12
69	48.73
70	51.5
71	44.13
72	46.7
73	42.67
74	44.88
75	49.49
76	55.13
77	50.78
78	55.92
79	53.73
80	49.84
81	59.26
82	54.78
83	47.32
84	51.67
85	56.26
86	46.58
87	52.6
88	44.96
89	49.97
90	50.5
91	52.37
92	54.08
93	54.68
94	49.33
95	46.86
96	48.86
97	50.66
98	53.07
99	44.03
100	47.36
101	52.13
102	49.72
103	48.05
104	51.69
105	49.09
106	50.81
107	52.66
108	45.97
109	47.75
110	54.12
111	47.02
112	47.78
113	53.11
114	49.4
115	50.85
116	51.4
117	50.99
118	57.62
119	54.12
120	53.47
121	53.56
122	61.39
123	54.23
124	51.21
125	48.37
126	58.86
127	52.34
128	49.75
129	51.67
130	50.51
131	47.27
132	48.9
133	44.71
134	51.76
135	53.76
136	54.07
137	49.13
138	49.47
139	54.06
140	44.42
141	47.83
142	50.32
143	50.64
144	51.2
145	50.46
146	51.79
147	52.84
148	43.52
149	51.91
150	52.69
151	41.26
152	46.04
153	48.93
154	47.89
155	42.82
156	48.82
157	49.91
158	48.81
159	54.65
160	49.26
161	47.32
162	51.7
163	49.08
164	48.12
165	45.58
166	50.63
167	50.27
168	48.5
169	44.18
170	52.31
171	52.6
172	43.91
173	50.52
174	50.14
175	50.97
176	55.16
177	42.43
178	50.34
179	51.54
180	50.86
181	47.03
182	52.37
183	52.88
184	52.72
185	46.03
186	56.63
187	55.56
188	48.75
189	59.62
190	46.77
191	56.97
192	53.58
193	48.87
194	48.21
195	49.76
196	50.78
197	55.28
198	48.2
199	47.73
200	53.62
201	44.17
202	50.48
203	48.01
204	54.78
205	55.25
206	48.19
207	50.26
208	47.24
209	52.32
210	53.1
211	48.76
212	48.69
213	47.98
214	52.41
215	48.71
216	48.5
217	42.28
218	44.71
219	46.99
220	50.03
221	49.04
222	49.23
223	50.18
224	43.39
225	47.87
226	51.55
227	52.87
228	53.54
229	53.79
230	50.83
231	55.01
232	47.98
233	48.61
234	55.98
235	44.71
236	49.46
237	48.39
238	46.89
239	50.62
240	48.29
241	49.35
242	42.43
243	44.93
244	53.39
245	49.58
246	44.35
247	50.75
248	50.02
249	47.81
250	51.72
251	51.13
252	53.49
253	50.27
254	47.64
255	54.33
256	49.28
257	52.56
258	43.55
259	53.02
260	45.31
261	51.99
262	42.13
263	45.13
264	47.63
265	52.54
266	48.94
267	47.69
268	53.07
269	51.32
270	56.04
271	51.35
272	44.95
273	46.85
274	50.22
275	49.7
276	48.29
277	50.54
278	49.83
279	48.73
280	54.5
281	51.98
282	44.08
283	50.78
284	52.39
285	51.93
286	53.47
287	54.52
288	50.35
289	54.36
290	48.99
291	50.77
292	48.58
293	50.85
294	47.89
295	48.47
296	53.9
297	50.13
298	53.45
299	52.05
300	60.06
301	47.69
302	58.15
303	53.7
304	47.47
305	48.31
306	50.98
307	50.75
308	49.47
309	48.99
310	49.32
311	56.47
312	48.49
313	50.09
314	51.05
315	51.53
316	54.27
317	48.19
318	47.61
319	46.6
320	44.52
321	46.84
322	49.9
323	44.55
324	53.49
325	49.63
326	47.25
327	53.34
328	48.29
329	48.4
330	49.96
331	51.02
332	49.43
333	47.72
334	51.04
335	47.1
336	52.4
337	52.31
338	49.18
339	55.73
340	54.66
341	56.01
342	48.14
343	50.72
344	53.45
345	49.4
346	47.91
347	50.67
348	53.91
349	56.16
350	50.07
351	49.58
352	44.45
353	48.48
354	46.17
355	48.64
356	43.91
357	48.22
358	46.78
359	46.73
360	48.07
361	51.87
362	47.45
363	49.14
364	45.89
365	43.69
366	48.25
367	53.13
368	57.81
369	52.06
370	48.96
371	52.84
372	54.29
373	51.82
374	52.68
375	53.7
376	53.89
377	54.33
378	51.97
379	45.88
380	50.39
381	51.49
382	46.77
383	50.1
384	50.94
385	47.52
386	52.72
387	51.79
388	45.7
389	54.67
390	46.5
391	55.04
392	52
393	50.25
394	61.76
395	46.61
396	45.94
397	53.59
398	50.51
399	47.94
400	50.44
401	49.99
402	49.55
403	44.45
404	53.46
405	52.43
406	52.61
407	48.23
408	55.49
409	55.31
410	51.53
411	54.03
412	49.73
413	45.66
414	47.8
415	54.64
416	55.55
417	54.75
418	50.18
419	55.3
420	50.79
421	45.66
422	47.83
423	55.88
424	47.87
425	46.54
