hayvan	baba	ana
476	0	0
477	0	0
478	0	0
479	0	0
480	0	0
481	0	0
482	0	0
483	0	0
484	0	0
485	0	0
486	0	0
487	0	0
488	0	0
489	0	0
490	0	0
491	0	0
492	0	0
493	0	0
494	0	0
495	0	0
496	0	0
497	0	0
498	0	0
499	0	0
500	0	0
501	492	477
502	492	477
503	492	477
504	492	477
505	492	477
506	492	477
507	492	477
508	492	477
509	492	477
510	492	477
511	488	485
512	488	485
513	488	485
514	488	485
515	488	485
516	488	485
517	488	485
518	488	485
519	488	485
520	488	485
521	490	499
522	490	499
523	490	499
524	490	499
525	490	499
526	490	499
527	490	499
528	490	499
529	490	499
530	490	499
531	480	489
532	480	489
533	480	489
534	480	489
535	480	489
536	480	489
537	480	489
538	480	489
539	480	489
540	480	489
541	500	491
542	500	491
543	500	491
544	500	491
545	500	491
546	500	491
547	500	491
548	500	491
549	500	491
550	500	491
551	482	479
552	482	479
553	482	479
554	482	479
555	482	479
556	482	479
557	482	479
558	482	479
559	482	479
560	482	479
561	478	483
562	478	483
563	478	483
564	478	483
565	478	483
566	478	483
567	478	483
568	478	483
569	478	483
570	478	483
571	484	487
572	484	487
573	484	487
574	484	487
575	484	487
576	484	487
577	484	487
578	484	487
579	484	487
580	484	487
581	486	481
582	486	481
583	486	481
584	486	481
585	486	481
586	486	481
587	486	481
588	486	481
589	486	481
590	486	481
591	494	497
592	494	497
593	494	497
594	494	497
595	494	497
596	494	497
597	494	497
598	494	497
599	494	497
600	494	497
601	573	582
602	573	582
603	573	582
604	573	582
605	573	582
606	573	582
607	573	582
608	573	582
609	573	582
610	573	582
611	529	574
612	529	574
613	529	574
614	529	574
615	529	574
616	529	574
617	529	574
618	529	574
619	529	574
620	529	574
621	505	550
622	505	550
623	505	550
624	505	550
625	505	550
626	505	550
627	505	550
628	505	550
629	505	550
630	505	550
631	593	544
632	593	544
633	593	544
634	593	544
635	593	544
636	593	544
637	593	544
638	593	544
639	593	544
640	593	544
641	571	584
642	571	584
643	571	584
644	571	584
645	571	584
646	571	584
647	571	584
648	571	584
649	571	584
650	571	584
651	535	532
652	535	532
653	535	532
654	535	532
655	535	532
656	535	532
657	535	532
658	535	532
659	535	532
660	535	532
661	501	562
662	501	562
663	501	562
664	501	562
665	501	562
666	501	562
667	501	562
668	501	562
669	501	562
670	501	562
671	523	538
672	523	538
673	523	538
674	523	538
675	523	538
676	523	538
677	523	538
678	523	538
679	523	538
680	523	538
681	563	504
682	563	504
683	563	504
684	563	504
685	563	504
686	563	504
687	563	504
688	563	504
689	563	504
690	563	504
691	517	552
692	517	552
693	517	552
694	517	552
695	517	552
696	517	552
697	517	552
698	517	552
699	517	552
700	517	552
701	623	618
702	623	618
703	623	618
704	623	618
705	623	618
706	623	618
707	623	618
708	623	618
709	623	618
710	623	618
711	655	652
712	655	652
713	655	652
714	655	652
715	655	652
716	655	652
717	655	652
718	655	652
719	655	652
720	655	652
721	613	612
722	613	612
723	613	612
724	613	612
725	613	612
726	613	612
727	613	612
728	613	612
729	613	612
730	613	612
731	681	620
732	681	620
733	681	620
734	681	620
735	681	620
736	681	620
737	681	620
738	681	620
739	681	620
740	681	620
741	637	668
742	637	668
743	637	668
744	637	668
745	637	668
746	637	668
747	637	668
748	637	668
749	637	668
750	637	668
751	621	680
752	621	680
753	621	680
754	621	680
755	621	680
756	621	680
757	621	680
758	621	680
759	621	680
760	621	680
761	653	676
762	653	676
763	653	676
764	653	676
765	653	676
766	653	676
767	653	676
768	653	676
769	653	676
770	653	676
771	615	628
772	615	628
773	615	628
774	615	628
775	615	628
776	615	628
777	615	628
778	615	628
779	615	628
780	615	628
781	627	656
782	627	656
783	627	656
784	627	656
785	627	656
786	627	656
787	627	656
788	627	656
789	627	656
790	627	656
791	625	610
792	625	610
793	625	610
794	625	610
795	625	610
796	625	610
797	625	610
798	625	610
799	625	610
800	625	610
801	719	710
802	719	710
803	719	710
804	719	710
805	719	710
806	719	710
807	719	710
808	719	710
809	719	710
810	719	710
811	723	762
812	723	762
813	723	762
814	723	762
815	723	762
816	723	762
817	723	762
818	723	762
819	723	762
820	723	762
821	747	736
822	747	736
823	747	736
824	747	736
825	747	736
826	747	736
827	747	736
828	747	736
829	747	736
830	747	736
831	701	742
832	701	742
833	701	742
834	701	742
835	701	742
836	701	742
837	701	742
838	701	742
839	701	742
840	701	742
841	763	780
842	763	780
843	763	780
844	763	780
845	763	780
846	763	780
847	763	780
848	763	780
849	763	780
850	763	780
851	721	732
852	721	732
853	721	732
854	721	732
855	721	732
856	721	732
857	721	732
858	721	732
859	721	732
860	721	732
861	735	748
862	735	748
863	735	748
864	735	748
865	735	748
866	735	748
867	735	748
868	735	748
869	735	748
870	735	748
871	731	798
872	731	798
873	731	798
874	731	798
875	731	798
876	731	798
877	731	798
878	731	798
879	731	798
880	731	798
881	743	708
882	743	708
883	743	708
884	743	708
885	743	708
886	743	708
887	743	708
888	743	708
889	743	708
890	743	708
891	775	738
892	775	738
893	775	738
894	775	738
895	775	738
896	775	738
897	775	738
898	775	738
899	775	738
900	775	738
