hayvan	skagr
476	525.74
477	483.57
478	491.24
479	480.11
480	490.98
481	504.6
482	509.64
483	500.07
484	491.98
485	487.57
486	495.84
487	462
488	467.99
489	518.71
490	510.37
491	519.75
492	534.61
493	523.07
494	528.47
495	486.7
496	516.83
497	481.18
498	513.33
499	504.37
500	541.45
501	514.37
502	538.19
503	543.51
504	494.29
505	484.26
506	527.61
507	481.84
508	495
509	508.26
510	483.44
511	469.91
512	490.43
513	471.95
514	522.27
515	472.84
516	520.67
517	490.99
518	502.31
519	497.02
520	482.29
521	490.49
522	540.05
523	517.55
524	495.2
525	502.03
526	506.96
527	517.75
528	484.94
529	521.54
530	487.44
531	510.29
532	473.39
533	501.96
534	492.44
535	538.51
536	504.76
537	533.35
538	521.07
539	498.75
540	560.24
541	560.63
542	518.54
543	519.99
544	511.12
545	485.71
546	534.94
547	525.39
548	496.49
549	506.24
550	536.43
551	451.45
552	474.58
553	480.95
554	451.86
555	482.2
556	509.35
557	477.29
558	518.55
559	527.5
560	463.2
561	496.7
562	458.09
563	492.17
564	515.73
565	505.86
566	514.27
567	478.99
568	452.05
569	468.25
570	467.3
571	459.07
572	489.3
573	490.41
574	473.45
575	475.97
576	513.45
577	506.84
578	509.24
579	472.57
580	517.62
581	519.23
582	533.81
583	537.56
584	527.64
585	508.64
586	542.87
587	456.79
588	515.24
589	537.89
590	537.03
591	520.61
592	521
593	475.2
594	507.9
595	496.91
596	484.36
597	489.85
598	492.31
599	522.36
600	526.49
601	522.36
602	510.93
603	481.66
604	523.42
605	484.92
606	508.98
607	468.53
608	552.18
609	498.44
610	557.38
611	533.7
612	475.27
613	509.03
614	513.79
615	498.02
616	500.33
617	504.03
618	506.8
619	462.39
620	521.28
621	538.73
622	476.1
623	493.05
624	492.97
625	556.38
626	525.29
627	516.84
628	482.05
629	487.92
630	485.18
631	495.13
632	509.65
633	513.83
634	487.79
635	476.39
636	491.98
637	543.07
638	497.74
639	502.94
640	490.35
641	484.4
642	528.68
643	468.42
644	480.86
645	462.21
646	465.06
647	455.8
648	510.13
649	437.31
650	516.16
651	501.13
652	533.38
653	538.29
654	535.04
655	496.81
656	534.53
657	541.43
658	491.37
659	527.46
660	523.95
661	452.88
662	464.26
663	480.58
664	512.2
665	504.66
666	493.41
667	473.38
668	471.19
669	517.89
670	469.86
671	485.29
672	531.91
673	506.55
674	499.35
675	508.05
676	516.19
677	487.21
678	484.35
679	481.01
680	491.64
681	513.47
682	495.7
683	502.73
684	510.75
685	510.11
686	536.02
687	456.65
688	490.51
689	504.39
690	492.98
691	474.25
692	479.79
693	493.7
694	492.42
695	519.89
696	496.42
697	466.37
698	494.88
699	507.54
700	458.23
701	529.69
702	512.94
703	533.56
704	523.4
705	489.85
706	466.16
707	517.17
708	504.46
709	539.65
710	501.05
711	488.77
712	514.13
713	521.36
714	539.47
715	544.43
716	524.76
717	529.04
718	541.53
719	536.97
720	521.24
721	461.21
722	520.66
723	479.07
724	489.57
725	478.39
726	508
727	524.6
728	449.82
729	495.38
730	477.65
731	462.8
732	482.34
733	502.1
734	483.54
735	523.55
736	469.13
737	512.65
738	510.13
739	490.66
740	477.55
741	508.69
742	464.68
743	495.31
744	484.17
745	540.35
746	488.34
747	479.47
748	495.1
749	506.94
750	516.1
751	534.15
752	557.47
753	515.15
754	509.33
755	502.91
756	547.81
757	504.61
758	496.73
759	519.41
760	511.21
761	502.93
762	549.97
763	573.11
764	538.02
765	541.09
766	524.89
767	532.8
768	514.65
769	480.83
770	515.98
771	517.28
772	492.7
773	462.62
774	510.1
775	505.41
776	496.68
777	507.65
778	478.57
779	504.22
780	516.2
781	537.14
782	560.7
783	506.2
784	477.89
785	494.02
786	522.39
787	472.27
788	548.74
789	531.6
790	487.87
791	523.02
792	504.84
793	500.02
794	495.82
795	504.56
796	555.5
797	550.47
798	515.37
799	501.28
800	513.46
801	518.02
802	555.48
803	486.09
804	483.57
805	490.19
806	481.48
807	486.3
808	493.9
809	526.63
810	502.84
811	506.18
812	509.77
813	484.4
814	515.05
815	514.73
816	469.32
817	494.76
818	498.68
819	478.31
820	512.41
821	491.02
822	524.24
823	474.1
824	498.57
825	479.19
826	470.56
827	463.92
828	497.71
829	496.18
830	477.8
831	493.96
832	456.67
833	552.65
834	535.95
835	489.89
836	488.43
837	526.54
838	483.48
839	479.22
840	540.22
841	481.44
842	528.65
843	477.51
844	531.07
845	525
846	543.95
847	507.75
848	498.77
849	480.05
850	473.97
851	475.03
852	485.58
853	525.95
854	474.76
855	520.49
856	491.69
857	558.83
858	524.12
859	511.77
860	495.88
861	474.57
862	507.83
863	502.54
864	496.63
865	508.43
866	527.32
867	503.69
868	503.93
869	511.06
870	492.09
871	518.06
872	528.64
873	516.31
874	497.62
875	487.77
876	495.5
877	490.49
878	492.18
879	466.39
880	516.9
881	495.1
882	492.75
883	503.79
884	478.14
885	496.25
886	527.64
887	500.03
888	499.19
889	500.92
890	539.83
891	513.44
892	505.87
893	533.98
894	526.82
895	491.85
896	497.11
897	529.49
898	523.22
899	492.44
900	484.35
