id	sex	GCA
1	M	458.495905024411
2	F	462.549066957991
3	M	506.397754839923
4	F	531.6202310874
5	M	508.194184174247
6	F	514.80383117023
7	M	492.278291178638
8	F	509.493783977528
9	M	512.576360736834
10	F	492.93433341612
11	M	475.233437295593
12	F	480.58735484709
13	M	477.654467433253
14	F	492.3551805133
15	M	509.047633381476
16	F	502.846671962262
17	M	414.816711863663
18	F	512.086196420129
19	M	529.094796277531
20	F	479.379598637826
21	M	490.214437293178
22	F	466.80932274408
23	M	538.990664925952
24	F	427.439084337723
25	M	566.410430071736
26	F	514.298867681303
27	M	494.441005117141
28	F	538.47410468537
29	M	494.413055324671
30	F	533.922233691661
31	M	502.009661855182
32	F	539.703713098121
33	M	495.742248828115
34	F	500.195059259227
35	M	513.97637924797
36	F	560.227887046404
37	M	494.89588832141
38	F	515.654915577974
39	M	509.722317761462
40	F	514.375931157271
41	M	485.589533722512
42	F	499.694566536078
43	M	493.583232790372
44	F	478.683651507217
45	M	473.374285288695
46	F	509.900284756219
47	M	542.24929745988
48	F	502.794859976279
49	M	491.177721094852
50	F	551.800302645659
51	M	541.707517111048
52	F	529.361031972871
53	M	478.777089481849
54	F	464.780752676498
55	M	502.477089483282
56	F	457.690021672349
57	M	441.423705328978
58	F	540.741527834282
59	M	489.713675253554
60	F	473.444570452011
61	M	533.061849728392
62	F	481.405812859015
63	M	511.0693190778
64	F	467.212252985072
65	M	486.484171697882
66	F	494.229595007531
67	M	451.083824284984
68	F	489.985443879692
69	M	487.974323327941
70	F	547.293748394534
71	M	498.155168045479
72	F	478.305318167491
73	M	493.124437708954
74	F	467.170409835829
75	M	507.3172617091
76	F	513.926596378258
77	M	514.011564634044
78	F	491.793414238094
79	M	478.003659536815
80	F	480.09088989182
81	M	432.463307685182
82	F	505.284894221846
83	M	519.081516683248
84	F	461.457740232597
85	M	464.188361080402
86	F	539.083230095208
87	M	505.634600223581
88	F	536.942776483471
89	M	520.158427502095
90	F	443.071598949991
91	M	500.601616873031
92	F	576.571593209697
93	M	493.925305693217
94	F	497.113097846619
95	M	460.27456034194
96	F	479.524376019654
97	M	505.668331030879
98	F	507.723066584347
99	M	482.564413404582
100	F	513.495728638928
101	M	577.868090949586
102	F	493.811324011707
103	M	544.123605711102
104	F	479.528327017079
105	M	498.39605234215
106	F	464.89251456464
107	M	460.217674279101
108	F	520.450329466401
109	M	526.654623251364
110	F	538.556684956429
111	M	486.325352608303
112	F	528.019840946025
113	M	550.603539882069
114	F	468.877335957629
115	M	483.51515677356
116	F	463.800276365871
117	M	550.02535478156
118	F	530.473752999517
119	M	515.084260300661
120	F	529.762142196636
121	M	502.275001897351
122	F	491.607664977965
123	M	496.362696730716
124	F	489.344649592828
125	M	486.711193287102
126	F	500.201157051122
127	M	518.701635706878
128	F	505.782115117397
129	M	465.751571534397
130	F	490.94443968903
131	M	525.598454781026
132	F	507.256144291494
133	M	525.835799467241
134	F	517.468260672768
135	M	525.044767036183
136	F	532.923427555631
137	M	463.040942440091
138	F	521.160861060703
139	M	546.656246658076
140	F	464.794510522164
141	M	474.613685606072
142	F	497.913369214704
143	M	470.844522914978
144	F	562.660144472373
145	M	545.607577233523
146	F	528.50357943442
147	M	539.424375155398
148	F	475.720838538438
149	M	544.221518752427
150	F	542.918961529778
151	M	555.445429869772
152	F	586.838129520661
153	M	543.081686848908
154	F	489.891226208029
155	M	526.57292790352
156	F	575.171847090674
157	M	524.241306973571
158	F	470.236638764274
159	M	503.629964072307
160	F	503.244720473476
161	M	552.322614056547
162	F	542.1553196629
163	M	536.018354651801
164	F	508.243160178681
165	M	543.22303394444
166	F	528.052191546581
167	M	499.50122712196
168	F	440.851421309067
169	M	530.414460504957
170	F	480.719424935236
171	M	550.755400305584
172	F	458.766036660304
173	M	572.010594778703
174	F	544.464058314562
175	M	514.276100154708
176	F	494.436754982201
177	M	528.348482766001
178	F	475.358877188043
179	M	525.116388606607
180	F	453.840034093403
