id	sex	GCA
181	M	569.364320287311
182	F	536.196843762649
183	M	535.514884317961
184	F	577.889966902004
185	M	498.526324275085
186	F	509.866206984356
187	M	499.312739685292
188	F	491.044425666561
189	M	511.083756112244
190	F	512.969410505282
191	M	576.780467449999
192	F	532.694230399739
193	M	493.586127065249
194	F	513.799192589248
195	M	519.700958722056
196	F	487.894006235945
197	M	466.010712303383
198	F	559.825109763057
199	M	506.954188751288
200	F	576.965506566052
201	M	515.586581451937
202	F	555.511609933979
203	M	575.541734006824
204	F	534.587456237442
205	M	551.503771847283
206	F	499.859993346465
207	M	512.742069324468
208	F	528.792331135144
209	M	559.541239587354
210	F	460.988455144544
211	M	540.660990700544
212	F	562.173293982185
213	M	519.648817162748
214	F	586.88448923428
215	M	531.614637303191
216	F	533.436825177401
217	M	599.579805530073
218	F	579.310467020058
219	M	544.120733095034
220	F	563.393651648185
221	M	528.551478893412
222	F	538.541094986336
223	M	563.200955956419
224	F	517.849721390341
225	M	466.537361585135
226	F	468.334083916578
227	M	555.32602630432
228	F	529.344729308279
229	M	489.722397406087
230	F	551.74598360649
231	M	522.223118739069
232	F	523.78911550006
233	M	540.429405480964
234	F	529.517493902622
235	M	569.937035903612
236	F	519.704215774662
237	M	542.682602698952
238	F	528.514092399034
239	M	502.562076939417
240	F	514.527079351012
241	M	548.907320978618
242	F	551.721095730595
243	M	512.79320804351
244	F	546.170975873477
