"Run_ID"	"Orig_ID"	"Tr"	"Solution"	"Inbreeding"
1607	910748	1	901.6044	0
1478	910150	1	899.47164	0
2094	940279	1	823.82762	0
1634	910844	1	798.6292	0
988	890213	1	789.20241	0
1984	930865	1	788.14872	0
1922	930666	1	783.54713	0
1647	920017	1	764.13885	0
2076	940203	1	760.21575	0
1784	920761	1	753.88933	0
1057	890507	1	750.79884	0
1811	930063	1	745.82272	0
1939	930713	1	737.6565	0
1718	920458	1	731.81487	0
1900	930580	1	731.53278	0
1845	930265	1	729.61192	0
79	3998	1	717.32642	0
82	4096	1	703.75757	0
2278	950195	1	698.52553	0
1289	900403	1	694.07586	0
2173	940660	1	691.44699	0
2257	950124	1	678.46439	0
2191	940713	1	670.77453	0
1357	900701	1	667.84552	0
2282	950241	1	662.10855	0
1793	920820	1	661.29779	0
1402	900856	1	660.27717	0
169	830374	1	655.60488	0
2159	940622	1	650.70101	0
1895	930554	1	649.93608	0
2124	940376	1	649.14124	0
1953	930758	1	646.41943	0
2254	950105	1	644.44046	0
1875	930409	1	639.90495	0
1125	890758	1	634.59549	0
1943	930726	1	631.41796	0
1106	890702	1	626.64264	0
1703	920399	1	623.86761	0
436	860026	1	622.54701	0
1341	900611	1	620.41009	0
1615	910778	1	618.39018	0
1473	910131	1	612.99779	0
1752	920577	1	612.89817	0
1988	930872	1	612.5533	0
1935	930700	1	611.87563	0
1445	910023	1	611.20426	0
1785	920777	1	609.52512	0
1829	930163	1	607.33007	0
439	860035	1	606.33073	0
1284	900383	1	606.26121	0
441	860043	1	600.73134	0
1302	900458	1	598.17442	0
1838	930227	1	597.11564	0
2179	940675	1	596.73178	0
1832	930181	1	593.13672	0
1052	890480	1	589.3845	0
1864	930342	1	589.32638	0
1940	930714	1	587.1494	0
710	880070	1	583.96552	0
1908	930606	1	583.24161	0
1713	920443	1	581.94879	0
1100	890684	1	571.94232	0
1898	930574	1	564.83938	0
1892	930530	1	563.30263	0
2006	930913	1	560.32859	0
2039	940071	1	559.55588	0
1750	920565	1	559.39666	0
2137	940493	1	555.54916	0
2221	940800	1	553.97247	0
1759	920618	1	552.70114	0
1789	920800	1	552.10798	0
1179	900015	1	546.308	0
1821	930094	1	542.96055	0
2177	940667	1	542.63239	0
2277	950192	1	542.41878	0
1109	890711	1	542.38382	0
1819	930083	1	539.28845	0
1493	910212	1	538.10297	0
997	890242	1	534.36309	0
1857	930324	1	533.80579	0
2095	940281	1	533.48399	0
1080	890618	1	524.74595	0
1961	930788	1	523.49562	0
1841	930234	1	517.45421	0
483	860339	1	514.06817	0
1932	930695	1	513.00083	0
1912	930620	1	512.78694	0
85	4167	1	505.64952	0
1021	890330	1	503.89073	0
1719	920462	1	500.21545	0
2240	950062	1	499.6006	0
1781	920755	1	497.80748	0
2072	940173	1	497.70227	0
2195	940722	1	497.59669	0
1582	910643	1	495.52139	0
2130	940417	1	495.13646	0
86	4204	1	494.29637	0
1277	900328	1	493.45268	0
1609	910755	1	488.26777	0
2054	940116	1	487.16561	0
1110	890713	1	487.12306	0
1799	930002	1	486.78787	0
1423	900918	1	485.42743	0
1159	890875	1	483.47077	0
395	851035	1	482.23428	0
1197	900070	1	478.7978	0
1901	930582	1	477.84908	0
1535	910386	1	475.50649	0
602	870403	1	469.32095	0
749	880173	1	468.99812	0
2115	940341	1	468.16714	0
1206	900096	1	466.28611	0
1020	890329	1	466.24557	0
2086	940226	1	466.00444	0
1644	920014	1	465.53749	0
1840	930232	1	463.29795	0
1218	900134	1	462.55422	0
1885	930473	1	461.5564	0
1071	890567	1	461.47696	0
1540	910434	1	459.2788	0
2103	940308	1	458.93028	0
1372	900762	1	458.83737	0
1879	930438	1	457.37406	0
1184	900031	1	455.15086	0
1959	930776	1	454.87822	0
78	3978	1	454.25216	0
1919	930659	1	454.24129	0
1219	900136	1	451.93769	0
1787	920796	1	451.3314	0
2023	940036	1	451.29381	0
1950	930744	1	448.77165	0
1771	920681	1	446.66255	0
2004	930909	1	444.90149	0
1013	890297	1	443.56465	0
1697	920321	1	443.04145	0
1236	900206	1	442.63332	0
1766	920662	1	441.414	0
2153	940602	1	441.1332	0
946	890078	1	439.86027	0
2214	940783	1	439.56168	0
1363	900723	1	438.12176	0
1786	920782	1	437.29076	0
1249	900251	1	436.94519	0
1210	900107	1	435.80457	0
968	890141	1	435.64235	0
1205	900095	1	435.20021	0
74	3634	1	430.59667	0
1705	920405	1	430.56961	0
1031	890362	1	430.42719	0
1173	890937	1	428.24495	0
1311	900492	1	425.62131	0
2036	940065	1	425.56203	0
1769	920674	1	425.29357	0
